Geography,Period,Cdid,Services,Flow,Measure Type,Value,Unit
K02000001,year/2015,MTN7,Manufacturing and maintenance services,Export,GBP Total,4280,£ million
K02000001,year/2016,MTN7,Manufacturing and maintenance services,Export,GBP Total,4112,£ million
K02000001,quarter/2015-Q3,MTN7,Manufacturing and maintenance services,Export,GBP Total,1038,£ million
K02000001,quarter/2015-Q4,MTN7,Manufacturing and maintenance services,Export,GBP Total,922,£ million
K02000001,quarter/2016-Q1,MTN7,Manufacturing and maintenance services,Export,GBP Total,1037,£ million
K02000001,quarter/2016-Q2,MTN7,Manufacturing and maintenance services,Export,GBP Total,948,£ million
K02000001,quarter/2016-Q3,MTN7,Manufacturing and maintenance services,Export,GBP Total,1022,£ million
K02000001,quarter/2016-Q4,MTN7,Manufacturing and maintenance services,Export,GBP Total,1105,£ million
K02000001,quarter/2017-Q1,MTN7,Manufacturing and maintenance services,Export,GBP Total,1004,£ million
K02000001,quarter/2017-Q2,MTN7,Manufacturing and maintenance services,Export,GBP Total,1087,£ million
K02000001,quarter/2017-Q3,MTN7,Manufacturing and maintenance services,Export,GBP Total,1179,£ million
K02000001,year/2015,FKOA,Transport,Export,GBP Total,25569,£ million
K02000001,year/2016,FKOA,Transport,Export,GBP Total,25970,£ million
K02000001,quarter/2015-Q3,FKOA,Transport,Export,GBP Total,6369,£ million
K02000001,quarter/2015-Q4,FKOA,Transport,Export,GBP Total,6328,£ million
K02000001,quarter/2016-Q1,FKOA,Transport,Export,GBP Total,6597,£ million
K02000001,quarter/2016-Q2,FKOA,Transport,Export,GBP Total,6248,£ million
K02000001,quarter/2016-Q3,FKOA,Transport,Export,GBP Total,6354,£ million
K02000001,quarter/2016-Q4,FKOA,Transport,Export,GBP Total,6771,£ million
K02000001,quarter/2017-Q1,FKOA,Transport,Export,GBP Total,7338,£ million
K02000001,quarter/2017-Q2,FKOA,Transport,Export,GBP Total,7232,£ million
K02000001,quarter/2017-Q3,FKOA,Transport,Export,GBP Total,7258,£ million
K02000001,year/2015,FAPO,Travel,Export,GBP Total,29785,£ million
K02000001,year/2016,FAPO,Travel,Export,GBP Total,30756,£ million
K02000001,quarter/2015-Q3,FAPO,Travel,Export,GBP Total,7153,£ million
K02000001,quarter/2015-Q4,FAPO,Travel,Export,GBP Total,7764,£ million
K02000001,quarter/2016-Q1,FAPO,Travel,Export,GBP Total,7676,£ million
K02000001,quarter/2016-Q2,FAPO,Travel,Export,GBP Total,7612,£ million
K02000001,quarter/2016-Q3,FAPO,Travel,Export,GBP Total,7376,£ million
K02000001,quarter/2016-Q4,FAPO,Travel,Export,GBP Total,8092,£ million
K02000001,quarter/2017-Q1,FAPO,Travel,Export,GBP Total,8278,£ million
K02000001,quarter/2017-Q2,FAPO,Travel,Export,GBP Total,8328,£ million
K02000001,quarter/2017-Q3,FAPO,Travel,Export,GBP Total,8539,£ million
K02000001,year/2015,FDSG,Construction,Export,GBP Total,1595,£ million
K02000001,year/2016,FDSG,Construction,Export,GBP Total,1952,£ million
K02000001,quarter/2015-Q3,FDSG,Construction,Export,GBP Total,439,£ million
K02000001,quarter/2015-Q4,FDSG,Construction,Export,GBP Total,371,£ million
K02000001,quarter/2016-Q1,FDSG,Construction,Export,GBP Total,480,£ million
K02000001,quarter/2016-Q2,FDSG,Construction,Export,GBP Total,460,£ million
K02000001,quarter/2016-Q3,FDSG,Construction,Export,GBP Total,576,£ million
K02000001,quarter/2016-Q4,FDSG,Construction,Export,GBP Total,436,£ million
K02000001,quarter/2017-Q1,FDSG,Construction,Export,GBP Total,467,£ million
K02000001,quarter/2017-Q2,FDSG,Construction,Export,GBP Total,469,£ million
K02000001,quarter/2017-Q3,FDSG,Construction,Export,GBP Total,465,£ million
K02000001,year/2015,FDTF,Insurance and pension services,Export,GBP Total,14814,£ million
K02000001,year/2016,FDTF,Insurance and pension services,Export,GBP Total,20666,£ million
K02000001,quarter/2015-Q3,FDTF,Insurance and pension services,Export,GBP Total,3393,£ million
K02000001,quarter/2015-Q4,FDTF,Insurance and pension services,Export,GBP Total,3676,£ million
K02000001,quarter/2016-Q1,FDTF,Insurance and pension services,Export,GBP Total,4585,£ million
K02000001,quarter/2016-Q2,FDTF,Insurance and pension services,Export,GBP Total,4701,£ million
K02000001,quarter/2016-Q3,FDTF,Insurance and pension services,Export,GBP Total,5996,£ million
K02000001,quarter/2016-Q4,FDTF,Insurance and pension services,Export,GBP Total,5384,£ million
K02000001,quarter/2017-Q1,FDTF,Insurance and pension services,Export,GBP Total,4426,£ million
K02000001,quarter/2017-Q2,FDTF,Insurance and pension services,Export,GBP Total,3896,£ million
K02000001,quarter/2017-Q3,FDTF,Insurance and pension services,Export,GBP Total,3982,£ million
K02000001,year/2015,FDYI,Financial,Export,GBP Total,52226,£ million
K02000001,year/2016,FDYI,Financial,Export,GBP Total,61383,£ million
K02000001,quarter/2015-Q3,FDYI,Financial,Export,GBP Total,14091,£ million
K02000001,quarter/2015-Q4,FDYI,Financial,Export,GBP Total,15098,£ million
K02000001,quarter/2016-Q1,FDYI,Financial,Export,GBP Total,14102,£ million
K02000001,quarter/2016-Q2,FDYI,Financial,Export,GBP Total,15380,£ million
K02000001,quarter/2016-Q3,FDYI,Financial,Export,GBP Total,15988,£ million
K02000001,quarter/2016-Q4,FDYI,Financial,Export,GBP Total,15913,£ million
K02000001,quarter/2017-Q1,FDYI,Financial,Export,GBP Total,15556,£ million
K02000001,quarter/2017-Q2,FDYI,Financial,Export,GBP Total,16233,£ million
K02000001,quarter/2017-Q3,FDYI,Financial,Export,GBP Total,16558,£ million
K02000001,year/2015,FEBA,Intellectual property,Export,GBP Total,12676,£ million
K02000001,year/2016,FEBA,Intellectual property,Export,GBP Total,13562,£ million
K02000001,quarter/2015-Q3,FEBA,Intellectual property,Export,GBP Total,3241,£ million
K02000001,quarter/2015-Q4,FEBA,Intellectual property,Export,GBP Total,3289,£ million
K02000001,quarter/2016-Q1,FEBA,Intellectual property,Export,GBP Total,3387,£ million
K02000001,quarter/2016-Q2,FEBA,Intellectual property,Export,GBP Total,3384,£ million
K02000001,quarter/2016-Q3,FEBA,Intellectual property,Export,GBP Total,3188,£ million
K02000001,quarter/2016-Q4,FEBA,Intellectual property,Export,GBP Total,3603,£ million
K02000001,quarter/2017-Q1,FEBA,Intellectual property,Export,GBP Total,3213,£ million
K02000001,quarter/2017-Q2,FEBA,Intellectual property,Export,GBP Total,3572,£ million
K02000001,quarter/2017-Q3,FEBA,Intellectual property,Export,GBP Total,3657,£ million
K02000001,year/2015,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,17835,£ million
K02000001,year/2016,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,20992,£ million
K02000001,quarter/2015-Q3,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,4571,£ million
K02000001,quarter/2015-Q4,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,4596,£ million
K02000001,quarter/2016-Q1,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5106,£ million
K02000001,quarter/2016-Q2,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5150,£ million
K02000001,quarter/2016-Q3,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5260,£ million
K02000001,quarter/2016-Q4,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5476,£ million
K02000001,quarter/2017-Q1,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5351,£ million
K02000001,quarter/2017-Q2,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5386,£ million
K02000001,quarter/2017-Q3,FDYQ,"Telecommunication, computer and information services",Export,GBP Total,5367,£ million
K02000001,year/2015,FEHH,Other business,Export,GBP Total,64222,£ million
K02000001,year/2016,FEHH,Other business,Export,GBP Total,66835,£ million
K02000001,quarter/2015-Q3,FEHH,Other business,Export,GBP Total,14528,£ million
K02000001,quarter/2015-Q4,FEHH,Other business,Export,GBP Total,15186,£ million
K02000001,quarter/2016-Q1,FEHH,Other business,Export,GBP Total,15620,£ million
K02000001,quarter/2016-Q2,FEHH,Other business,Export,GBP Total,16159,£ million
K02000001,quarter/2016-Q3,FEHH,Other business,Export,GBP Total,16177,£ million
K02000001,quarter/2016-Q4,FEHH,Other business,Export,GBP Total,18879,£ million
K02000001,quarter/2017-Q1,FEHH,Other business,Export,GBP Total,21071,£ million
K02000001,quarter/2017-Q2,FEHH,Other business,Export,GBP Total,21135,£ million
K02000001,quarter/2017-Q3,FEHH,Other business,Export,GBP Total,21588,£ million
K02000001,year/2015,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,2801,£ million
K02000001,year/2016,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,3873,£ million
K02000001,quarter/2015-Q3,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,756,£ million
K02000001,quarter/2015-Q4,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,579,£ million
K02000001,quarter/2016-Q1,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,852,£ million
K02000001,quarter/2016-Q2,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,1039,£ million
K02000001,quarter/2016-Q3,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,1066,£ million
K02000001,quarter/2016-Q4,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,916,£ million
K02000001,quarter/2017-Q1,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,751,£ million
K02000001,quarter/2017-Q2,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,759,£ million
K02000001,quarter/2017-Q3,FGXJ,"Personal, cultural and recreational services",Export,GBP Total,743,£ million
K02000001,year/2015,FGZA,Government,Export,GBP Total,2588,£ million
K02000001,year/2016,FGZA,Government,Export,GBP Total,2570,£ million
K02000001,quarter/2015-Q3,FGZA,Government,Export,GBP Total,676,£ million
K02000001,quarter/2015-Q4,FGZA,Government,Export,GBP Total,633,£ million
K02000001,quarter/2016-Q1,FGZA,Government,Export,GBP Total,600,£ million
K02000001,quarter/2016-Q2,FGZA,Government,Export,GBP Total,727,£ million
K02000001,quarter/2016-Q3,FGZA,Government,Export,GBP Total,650,£ million
K02000001,quarter/2016-Q4,FGZA,Government,Export,GBP Total,593,£ million
K02000001,quarter/2017-Q1,FGZA,Government,Export,GBP Total,672,£ million
K02000001,quarter/2017-Q2,FGZA,Government,Export,GBP Total,672,£ million
K02000001,quarter/2017-Q3,FGZA,Government,Export,GBP Total,649,£ million
K02000001,year/2015,IKBB,Total,Export,GBP Total,228391,£ million
K02000001,year/2016,IKBB,Total,Export,GBP Total,252671,£ million
K02000001,quarter/2015-Q3,IKBB,Total,Export,GBP Total,56255,£ million
K02000001,quarter/2015-Q4,IKBB,Total,Export,GBP Total,58442,£ million
K02000001,quarter/2016-Q1,IKBB,Total,Export,GBP Total,60042,£ million
K02000001,quarter/2016-Q2,IKBB,Total,Export,GBP Total,61808,£ million
K02000001,quarter/2016-Q3,IKBB,Total,Export,GBP Total,63653,£ million
K02000001,quarter/2016-Q4,IKBB,Total,Export,GBP Total,67168,£ million
K02000001,quarter/2017-Q1,IKBB,Total,Export,GBP Total,68127,£ million
K02000001,quarter/2017-Q2,IKBB,Total,Export,GBP Total,68769,£ million
K02000001,quarter/2017-Q3,IKBB,Total,Export,GBP Total,69985,£ million
K02000001,year/2015,MTN6,Manufacturing and maintenance services,Import,GBP Total,1517,£ million
K02000001,year/2016,MTN6,Manufacturing and maintenance services,Import,GBP Total,1320,£ million
K02000001,quarter/2015-Q3,MTN6,Manufacturing and maintenance services,Import,GBP Total,363,£ million
K02000001,quarter/2015-Q4,MTN6,Manufacturing and maintenance services,Import,GBP Total,338,£ million
K02000001,quarter/2016-Q1,MTN6,Manufacturing and maintenance services,Import,GBP Total,350,£ million
K02000001,quarter/2016-Q2,MTN6,Manufacturing and maintenance services,Import,GBP Total,305,£ million
K02000001,quarter/2016-Q3,MTN6,Manufacturing and maintenance services,Import,GBP Total,317,£ million
K02000001,quarter/2016-Q4,MTN6,Manufacturing and maintenance services,Import,GBP Total,348,£ million
K02000001,quarter/2017-Q1,MTN6,Manufacturing and maintenance services,Import,GBP Total,275,£ million
K02000001,quarter/2017-Q2,MTN6,Manufacturing and maintenance services,Import,GBP Total,276,£ million
K02000001,quarter/2017-Q3,MTN6,Manufacturing and maintenance services,Import,GBP Total,341,£ million
K02000001,year/2015,FHME,Transport,Import,GBP Total,21631,£ million
K02000001,year/2016,FHME,Transport,Import,GBP Total,23086,£ million
K02000001,quarter/2015-Q3,FHME,Transport,Import,GBP Total,5509,£ million
K02000001,quarter/2015-Q4,FHME,Transport,Import,GBP Total,5403,£ million
K02000001,quarter/2016-Q1,FHME,Transport,Import,GBP Total,5463,£ million
K02000001,quarter/2016-Q2,FHME,Transport,Import,GBP Total,5622,£ million
K02000001,quarter/2016-Q3,FHME,Transport,Import,GBP Total,5936,£ million
K02000001,quarter/2016-Q4,FHME,Transport,Import,GBP Total,6065,£ million
K02000001,quarter/2017-Q1,FHME,Transport,Import,GBP Total,6119,£ million
K02000001,quarter/2017-Q2,FHME,Transport,Import,GBP Total,6182,£ million
K02000001,quarter/2017-Q3,FHME,Transport,Import,GBP Total,6163,£ million
K02000001,year/2015,APQL,Travel,Import,GBP Total,43613,£ million
K02000001,year/2016,APQL,Travel,Import,GBP Total,47989,£ million
K02000001,quarter/2015-Q3,APQL,Travel,Import,GBP Total,11657,£ million
K02000001,quarter/2015-Q4,APQL,Travel,Import,GBP Total,11913,£ million
K02000001,quarter/2016-Q1,APQL,Travel,Import,GBP Total,11251,£ million
K02000001,quarter/2016-Q2,APQL,Travel,Import,GBP Total,11839,£ million
K02000001,quarter/2016-Q3,APQL,Travel,Import,GBP Total,12049,£ million
K02000001,quarter/2016-Q4,APQL,Travel,Import,GBP Total,12850,£ million
K02000001,quarter/2017-Q1,APQL,Travel,Import,GBP Total,12317,£ million
K02000001,quarter/2017-Q2,APQL,Travel,Import,GBP Total,11980,£ million
K02000001,quarter/2017-Q3,APQL,Travel,Import,GBP Total,12127,£ million
K02000001,year/2015,FIOU,Construction,Import,GBP Total,1206,£ million
K02000001,year/2016,FIOU,Construction,Import,GBP Total,1409,£ million
K02000001,quarter/2015-Q3,FIOU,Construction,Import,GBP Total,247,£ million
K02000001,quarter/2015-Q4,FIOU,Construction,Import,GBP Total,236,£ million
K02000001,quarter/2016-Q1,FIOU,Construction,Import,GBP Total,325,£ million
K02000001,quarter/2016-Q2,FIOU,Construction,Import,GBP Total,326,£ million
K02000001,quarter/2016-Q3,FIOU,Construction,Import,GBP Total,391,£ million
K02000001,quarter/2016-Q4,FIOU,Construction,Import,GBP Total,367,£ million
K02000001,quarter/2017-Q1,FIOU,Construction,Import,GBP Total,362,£ million
K02000001,quarter/2017-Q2,FIOU,Construction,Import,GBP Total,453,£ million
K02000001,quarter/2017-Q3,FIOU,Construction,Import,GBP Total,445,£ million
K02000001,year/2015,FIPT,Insurance and pension services,Import,GBP Total,194,£ million
K02000001,year/2016,FIPT,Insurance and pension services,Import,GBP Total,203,£ million
K02000001,quarter/2015-Q3,FIPT,Insurance and pension services,Import,GBP Total,48,£ million
K02000001,quarter/2015-Q4,FIPT,Insurance and pension services,Import,GBP Total,46,£ million
K02000001,quarter/2016-Q1,FIPT,Insurance and pension services,Import,GBP Total,47,£ million
K02000001,quarter/2016-Q2,FIPT,Insurance and pension services,Import,GBP Total,53,£ million
K02000001,quarter/2016-Q3,FIPT,Insurance and pension services,Import,GBP Total,50,£ million
K02000001,quarter/2016-Q4,FIPT,Insurance and pension services,Import,GBP Total,53,£ million
K02000001,quarter/2017-Q1,FIPT,Insurance and pension services,Import,GBP Total,50,£ million
K02000001,quarter/2017-Q2,FIPT,Insurance and pension services,Import,GBP Total,55,£ million
K02000001,quarter/2017-Q3,FIPT,Insurance and pension services,Import,GBP Total,51,£ million
K02000001,year/2015,FITY,Financial,Import,GBP Total,9870,£ million
K02000001,year/2016,FITY,Financial,Import,GBP Total,10598,£ million
K02000001,quarter/2015-Q3,FITY,Financial,Import,GBP Total,2468,£ million
K02000001,quarter/2015-Q4,FITY,Financial,Import,GBP Total,2590,£ million
K02000001,quarter/2016-Q1,FITY,Financial,Import,GBP Total,2402,£ million
K02000001,quarter/2016-Q2,FITY,Financial,Import,GBP Total,2551,£ million
K02000001,quarter/2016-Q3,FITY,Financial,Import,GBP Total,2878,£ million
K02000001,quarter/2016-Q4,FITY,Financial,Import,GBP Total,2767,£ million
K02000001,quarter/2017-Q1,FITY,Financial,Import,GBP Total,2768,£ million
K02000001,quarter/2017-Q2,FITY,Financial,Import,GBP Total,2756,£ million
K02000001,quarter/2017-Q3,FITY,Financial,Import,GBP Total,2809,£ million
K02000001,year/2015,FIVX,Intellectual property,Import,GBP Total,8468,£ million
K02000001,year/2016,FIVX,Intellectual property,Import,GBP Total,9701,£ million
K02000001,quarter/2015-Q3,FIVX,Intellectual property,Import,GBP Total,2142,£ million
